STATE,ZIP,LATITUDE,LONGITUDE,DATE_LAST_CONFIRMED,ID,COUNTRY
AL,36107,32.367916,-86.267021,2021/08/04 00:00:00+00,17,US
GA,30303,33.745843,-84.398837,2021/08/04 00:00:00+00,42,US
GA,30324,33.821911,-84.367461,2021/08/04 00:00:00+00,45,US
GA,30336,33.760256,-84.543822,2021/04/08 00:00:00+00,64,US
TX,77007,29.779918,-95.435385,2021/10/12 00:00:00+00,72,US
AR,72903,35.362213,-94.375338,2021/04/08 00:00:00+00,73,US
MA,2128,42.37470555,-71.02654861,2021/08/04 00:00:00+00,81,US
MA,2149,42.393167,-71.064352,2021/05/06 00:00:00+00,84,US
NY,11211,40.718037,-73.932309,2021/05/06 00:00:00+00,108,US
NY,11236,40.64554,-73.918344,2021/09/10 00:00:00+00,112,US
NY,10001,40.752903,-74.005831,2021/09/10 00:00:00+00,124,US
NY,10009,40.729175,-73.97331,2021/09/10 00:00:00+00,125,US
NY,10462,40.8441883,-73.8615724,2021/09/10 00:00:00+00,129,US
NY,10580,40.979001,-73.693048,2021/09/10 00:00:00+00,130,US
NY,11354,40.769623,-73.843069,2021/09/10 00:00:00+00,132,US
IN,46225,39.736169,-86.161743,2021/10/12 00:00:00+00,147,US
WY,82001,41.135848,-104.830233,2021/09/10 00:00:00+00,215,US
CT,6114,41.736894,-72.660257,2021/06/07 00:00:00+00,248,US
LA,70815,30.471166,-91.087975,2021/08/04 00:00:00+00,296,US
NM,87507,35.65758,-105.993406,2021/09/10 00:00:00+00,360,US
KS,66214,38.966292,-94.715917,2021/10/12 00:00:00+00,372,US
ID,83709,43.599179,-116.276042,2021/05/06 00:00:00+00,408,US
ID,83202,42.949867,-112.468069,2021/05/06 00:00:00+00,413,US
ID,83401,43.509729,-112.007445,2021/05/06 00:00:00+00,415,US
ID,83651,43.615117,-116.618458,2021/05/06 00:00:00+00,416,US
ID,83705,43.559171,-116.241498,2021/12/09 00:00:00+00,418,US
KS,66603,39.058754,-95.667854,2021/10/12 00:00:00+00,434,US
MO,63119,38.598601,-90.323574,2021/08/04 00:00:00+00,440,US
NY,11717,40.785664,-73.219818,2021/11/04 00:00:00+00,448,US
NY,11801,40.766799,-73.509603,2021/05/06 00:00:00+00,449,US
TX,75061,32.817883,-96.988716,2021/08/04 00:00:00+00,453,US
TX,75207,32.76662,-96.807086,2021/10/12 00:00:00+00,456,US
TX,75042,32.89683,-96.68401,2021/09/10 00:00:00+00,477,US
UT,84088,40.599413,-111.993532,2021/12/09 00:00:00+00,523,US
UT,84104,40.764976,-111.922291,2021/04/08 00:00:00+00,528,US
UT,84321,41.734633,-111.861488,2021/04/08 00:00:00+00,548,US
UT,84501,39.586805,-110.813433,2021/04/08 00:00:00+00,558,US
UT,84701,38.786621,-112.084147,2021/04/08 00:00:00+00,569,US
AL,36606,30.689832,-88.108861,2021/10/12 00:00:00+00,597,US
MN,55419,44.891455,-93.285766,2020/08/05 00:00:00+00,606,US
NE,68106,41.235148,-96.011954,2021/08/04 00:00:00+00,622,US
CO,80104,39.407087,-104.872002,2021/10/12 00:00:00+00,633,US
CO,80249,39.83765605,-104.6805,2021/09/10 00:00:00+00,648,US
NY,12204,42.667569,-73.739345,2021/05/06 00:00:00+00,703,US
OR,97220,45.562809,-122.537882,2021/03/15 00:00:00+00,716,US
OR,97266,45.46966,-122.567129,2021/03/15 00:00:00+00,717,US
OR,97303,44.971345,-123.029369,2021/03/15 00:00:00+00,718,US
